SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
85,11.264,22,10,protocol,7.5,80,512,6.4,20,20,1,1,1,1,1,1,0.838889,0.838889,0.838889,0.838889,0.414442
86,10.752,21,10,protocol,7.5,80,500,6.25,20,20,1,1,1,1,1,1,0.8625,0.8625,0.8625,0.8625,0.413792
87,10.24,20,10,protocol,7.5,80,488,6.1,20,20,1,1,1,1,1,0.991667,0.8125,0.8125,0.8125,0.8125,0.413979
88,10.24,20,10,protocol,7.5,80,508,6.35,32,32,1,1,1,1,1,1,0.875,0.875,0.875,0.875,0.413073
89,10.24,20,10,protocol,7.5,80,507,6.3375,40,40,1,1,1,1,1,0.991667,0.8875,0.8875,0.8875,0.8875,0.413338
90,10.24,20,10,protocol,7.5,80,522,6.525,40,40,1,1,1,1,1,0.991667,0.9375,0.9375,0.9375,0.9375,0.412586
91,10.24,20,10,protocol,7.5,80,524,6.55,40,40,1,1,1,1,1,0.991667,0.95625,0.95625,0.95625,0.95625,0.412892
92,10.24,20,10,protocol,7.5,80,531,6.6375,40,40,1,1,1,1,1,0.991667,0.975,0.975,0.975,0.975,0.412128
93,10.24,20,10,protocol,7.5,80,524,6.55,40,39,0.975,0.975,0.9875,0.9875,0.9875,0.966667,0.96875,0.96875,0.96875,0.96875,0.414071
94,10.24,20,10,protocol,7.5,80,524,6.55,40,39,0.975,0.975,0.9875,0.9875,0.9875,0.975,0.9625,0.9625,0.9625,0.9625,0.412166
95,10.24,20,10,protocol,7.5,80,534,6.675,40,40,1,1,1,1,1,1,0.98125,0.98125,0.98125,0.98125,0.411016
96,10.24,20,10,protocol,7.5,80,535,6.6875,40,40,1,1,1,1,1,1,0.99375,0.99375,0.99375,0.99375,0.409227
97,10.24,20,10,protocol,7.5,80,531,6.6375,40,40,1,1,1,1,1,1,0.9875,0.9875,0.9875,0.9875,0.4081
98,10.24,20,10,protocol,7.5,80,525,6.5625,40,40,1,1,1,1,1,1,0.91875,0.91875,0.91875,0.91875,0.40617
99,10.24,20,10,protocol,7.5,80,524,6.55,40,40,1,1,1,1,1,1,0.9375,0.9375,0.9375,0.9375,0.405097
100,10.24,20,10,protocol,7.5,80,518,6.475,40,40,1,1,1,1,1,1,0.8875,0.8875,0.8875,0.8875,0.403205
101,10.24,20,10,protocol,7.5,80,517,6.4625,40,40,1,1,1,1,1,1,0.91875,0.91875,0.91875,0.91875,0.402284
102,10.24,20,10,protocol,7.5,80,494,6.175,40,40,1,1,1,1,1,1,0.83125,0.83125,0.83125,0.83125,0.400463
103,10.24,20,10,protocol,7.5,80,501,6.2625,40,40,1,1,1,1,1,1,0.8375,0.8375,0.8375,0.8375,0.399499
104,10.24,20,10,protocol,7.5,80,496,6.2,40,40,1,1,1,1,1,1,0.825,0.825,0.825,0.825,0.397744
105,10.24,20,10,protocol,7.5,80,511,6.3875,40,40,1,1,1,1,1,1,0.86875,0.86875,0.86875,0.86875,0.396827
106,10.24,20,10,protocol,7.5,80,527,6.5875,40,40,1,1,1,1,1,1,0.95625,0.95625,0.95625,0.95625,0.395207
107,10.24,20,10,protocol,7.5,100,669,6.69,52,52,1,1,1,1,1,1,0.983333,0.983333,0.983333,0.983333,0.394011
108,10.24,20,10,protocol,7.5,100,674,6.74,60,60,1,1,1,1,1,1,0.9875,0.9875,0.9875,0.9875,0.392068
109,10.24,20,10,protocol,7.5,100,672,6.72,60,58,0.966667,0.966667,0.966667,0.983333,0.99,0.990099,0.979167,0.979167,0.979167,0.979167,0.39094
110,10.24,20,10,protocol,7.5,100,678,6.78,60,60,1,1,1,1,1,1,0.995833,0.995833,0.995833,0.995833,0.389079
111,10.24,20,10,protocol,7.5,100,680,6.8,60,60,1,1,1,1,1,0.995833,0.995833,0.995833,0.995833,0.995833,0.388033
112,10.24,20,10,protocol,7.5,100,680,6.8,60,60,1,1,1,1,1,1,0.991736,0.991736,0.991736,0.991736,0.386248
113,10.24,20,10,protocol,7.5,100,686,6.86,41,41,1,1,1,1,1,1,0.95,0.95,0.95,0.95,0.385248
114,10.24,20,10,protocol,7.5,100,683,6.83,40,40,1,1,1,1,1,1,0.973077,0.973077,0.973077,0.973077,0.383535
115,10.24,20,10,protocol,7.5,100,670,6.7,40,40,1,1,0.9875,0.983333,0.97,0.971545,0.965385,0.965385,0.965385,0.965385,0.38263
116,10.24,20,10,protocol,7.5,100,698,6.98,40,40,1,1,1,1,1,0.996154,0.945652,0.945652,0.945652,0.945652,0.381028
117,12.288,24,10,protocol,7.5,100,701,7.01,40,40,1,1,1,1,1,0.992308,0.89,0.89,0.89,0.89,0.380491
118,12.288,24,10,protocol,7.5,100,718,7.18,54,54,1,1,1,1,1,1,0.916667,0.916667,0.916667,0.916667,0.37924
119,12.288,24,10,protocol,7.5,100,722,7.22,60,60,1,1,1,1,1,0.996154,0.923333,0.923333,0.923333,0.923333,0.378745
120,12.288,24,10,protocol,7.5,100,722,7.22,60,60,1,1,1,1,1,1,0.916667,0.916667,0.916667,0.916667,0.377487
121,12.288,24,10,protocol,7.5,100,716,7.16,60,60,1,1,1,1,1,0.992308,0.903333,0.903333,0.903333,0.903333,0.377092
122,12.288,24,10,protocol,7.5,100,701,7.01,60,60,1,1,1,1,1,0.988462,0.88,0.88,0.88,0.88,0.375909
123,12.288,24,10,protocol,7.5,100,688,6.88,60,60,1,1,1,1,1,0.992308,0.928571,0.928571,0.928571,0.928571,0.375665
124,12.288,24,10,protocol,7.5,100,678,6.78,60,60,1,1,1,1,0.991667,0.976562,0.976923,0.976923,0.976923,0.976923,0.374709
125,10.752,21,10,protocol,7.5,100,684,6.84,60,60,1,1,1,1,1,1,0.980769,0.980769,0.980769,0.980769,0.374711
126,10.24,20,10,protocol,7.5,100,660,6.6,60,60,1,1,0.988889,0.971429,0.970833,0.970833,0.946154,0.946154,0.946154,0.946154,0.374299
127,10.24,20,10,protocol,7.5,100,677,6.77,60,60,1,1,1,1,1,1,0.969231,0.969231,0.969231,0.969231,0.374455
128,10.24,20,10,protocol,7.5,100,683,6.83,60,60,1,1,1,1,1,1,0.976923,0.976923,0.976923,0.976923,0.373922
129,10.24,20,10,protocol,7.5,100,656,6.56,60,59,0.983333,0.975,0.98,0.96875,0.970833,0.970833,0.930769,0.930769,0.930769,0.930769,0.373697
130,12.8,25,10,protocol,7.5,100,672,6.72,60,60,1,1,1,1,1,1,0.942308,0.942308,0.942308,0.942308,0.372813
131,10.752,21,10,protocol,7.5,100,677,6.77,60,60,1,1,1,1,1,1,0.961538,0.961538,0.961538,0.961538,0.372927
132,10.24,20,10,protocol,7.5,100,677,6.77,60,60,1,1,1,1,1,1,0.969231,0.969231,0.969231,0.969231,0.372456
133,12.288,24,10,protocol,7.5,100,680,6.8,74,74,1,1,1,1,1,1,0.969231,0.969231,0.969231,0.969231,0.37225
134,12.288,24,10,protocol,7.5,110,682,6.2,100,100,1,1,1,1,1,1,0.93,0.93,0.93,0.93,0.371259
135,10.752,21,10,protocol,7.5,120,803,6.69167,142,142,1,1,1,0.983333,0.983333,0.983333,0.880734,0.880734,0.880734,0.880734,0.370507
136,11.264,22,10,protocol,7.5,120,831,6.925,140,140,1,1,1,1,1,1,0.91629,0.91629,0.91629,0.91629,0.369396
137,12.288,24,10,protocol,7.5,120,837,6.975,122,122,1,1,1,1,1,1,0.886555,0.886555,0.886555,0.886555,0.36898
138,12.288,24,10,protocol,7.5,120,844,7.03333,106,106,1,1,1,1,1,1,0.897917,0.897917,0.897917,0.897917,0.368015
139,11.264,22,10,protocol,7.5,120,879,7.325,100,100,1,1,1,1,1,0.997354,0.970833,0.970833,0.970833,0.970833,0.367864
140,11.264,22,10,protocol,7.5,120,864,7.2,100,100,1,1,1,1,1,0.971698,0.95625,0.95625,0.95625,0.95625,0.367146
141,12.288,24,10,protocol,7.5,120,849,7.075,100,100,1,1,0.994444,0.988462,0.986111,0.938559,0.933333,0.933333,0.933333,0.933333,0.3672
142,11.776,23,10,protocol,7.5,120,882,7.35,100,100,1,1,1,1,1,0.970833,0.95102,0.95102,0.95102,0.95102,0.366446
143,12.288,24,10,protocol,7.5,120,904,7.53333,100,100,1,1,1,1,1,1,0.936538,0.936538,0.936538,0.936538,0.366321
144,11.776,23,10,protocol,7.5,120,902,7.51667,100,100,1,1,1,0.989286,0.992788,0.983333,0.913534,0.913534,0.913534,0.913534,0.365698
145,12.288,24,10,protocol,7.5,120,916,7.63333,100,100,1,1,1,0.996429,0.997619,0.989583,0.896429,0.896429,0.896429,0.896429,0.365233
146,12.288,24,10,protocol,7.5,120,938,7.81667,92,92,1,1,1,1,1,0.989583,0.928571,0.928571,0.928571,0.928571,0.364346
147,12.288,24,10,protocol,7.5,120,906,7.55,60,60,1,1,1,0.980132,0.97619,0.958333,0.880357,0.880357,0.880357,0.880357,0.363885
148,12.288,24,10,protocol,7.5,120,943,7.85833,60,60,1,1,1,1,0.997619,0.983402,0.900697,0.900697,0.900697,0.900697,0.362908
149,12.288,24,10,protocol,7.5,120,947,7.89167,60,59,0.983333,0.99,0.99375,0.991176,0.990476,0.972656,0.905923,0.905923,0.905923,0.905923,0.362494
150,12.288,24,10,protocol,7.5,120,955,7.95833,60,60,1,1,1,1,0.990476,0.965779,0.9631,0.9631,0.9631,0.9631,0.361568
